category_code,interaction_impact
100,0.005313958005897559
93,0.02377410412794229
27,0.003677692371082713
61,0.03250119432694819
72,0.008749838730351074
99,0.014711567224675154
12,0.006761262563043428
65,0.016079794474090695
102,0.011707290937291092
33,0.055307944739821105
79,0.0338762092896696
0,0.023722255899963383
101,0.0028320503739595595
29,0.01787971407048997
30,0.032039793125275634
51,0.11505968148885459
40,0.005303475503455866
49,0.11429236817775401
118,2789588774421.2305
34,0.0766705428555583
31,0.00236073355095601
45,0.03892711970318872
60,0.06446358178003372
36,0.011851727104765057
39,0.024671469614582088
46,0.014770197203419502
42,0.02301644697805237
110,0.059137157348069805
71,0.07682643083356405
87,0.011200879983296576
119,0.037823672105550814
84,0.05390085452958623
80,0.036493167270245055
69,0.009461836720603587
96,0.06686775290757918
64,0.026119434323409685
25,0.006310130944176144
95,0.04291035732370433
123,0.011896708987615388
74,0.019710452180708864
32,0.02476069025348892
76,0.0704277294393606
88,0.16205171521535994
38,0.033145345086137895
83,0.014308164537222178
48,0.09743375000392995
105,0.13392719767333047
24,0.011165651257489626
120,0.05352559382297858
114,0.07432806736651296
52,0.035694605942248145
109,0.1935909134000129
108,0.030888063632700462
97,0.38326093462922073
124,0.30824293228139943
115,0.3095238095238072
62,0.08693162069074616
17,0.08751269035530283
22,0.08177536748964905
8,0.19230769230768496
7,0.16666666666666724
126,0.08392857142856877
5,0.04853060190333923
9,12619065402323.365
56,0.061224489795918345
19,0.07142857142857134
90,0.055555555555555525
86,0.08653846153846137
85,0.11111111111111101
37,0.33333333333333337
