product_id,interaction_impact
1004856,341022427177.9624
1002532,1002894417776.3491
6200687,0.0012044564890094332
4802036,0.1148806657954462
1004932,0.09810107394859871
1004246,0.15989509905417848
4700419,3218739510843.9375
1004659,1098127041535.1311
1307135,1606599250414.3777
1004903,516277113523.10944
1004870,96185325486.18835
6800659,0.02606209150326798
1004794,0.15346623004626925
1002544,0.04904807035392151
1003860,0.014293567894447485
3100152,0.11192488994507906
1004777,346829218023.1313
1005003,1704556483581.8008
1307061,0.10775862068965511
1004665,2259896950852.118
3700127,0.01848104680965719
1004564,0.020320114913046333
5100845,0.17843137254902006
1005098,282576362800.9017
1004838,0.005107278566148496
3900045,0.4539682539682566
2700920,0.0106918238993711
28719171,0.032019704433497394
12900081,0.035714285714285754
1003879,0.025916240396957228
1004708,0.14044507340442539
3100640,0.08504924778996752
1004779,5900207739287.053
2800591,0.2424242424242423
1004857,1286252925494.8977
8800599,0.012493492972410192
11200196,0.15
16200316,0.1124999999999998
4802888,0.019298878467896487
1004835,1416284228882.604
1004321,0.3543767870380179
3800751,0.0030972028721457474
5100852,0.022636624817149512
1004258,211067855505.17194
4803878,896974158808.3616
2300294,0.15135760297050693
3900486,0.029495990836196945
5100566,0.1758211555739385
1600557,0.03394549763033146
10900314,0.007547169811320725
1004575,5258726567524.821
1307189,0.004693486590038293
1005070,0.048688386760808305
2401760,0.11666666666666684
3100927,0.03238866396761128
1004433,1444112241127.9639
3900821,0.0687222367389603
1004848,0.011201527024312076
21403053,0.01329365079365081
1004247,1630201715556.036
1004991,0.08652499657866052
13200149,0.02036199095022624
1801739,0.3806576883853411
6300739,0.033672480620154946
2701657,3357713122438.7095
4700380,0.0018181818181818468
1004726,0.047727272727272785
1004781,1413953653910.6863
3100267,0.002706054393485838
1801841,0.3523809523809615
1480643,1.1102230246251565e-16
7004322,0.00651253663301863
18200037,0.0646953405017921
3600661,0.04730698110460324
2900516,0.08054747054747063
7101171,0.03130203130203127
1004839,2340174456492.71
6200358,0.07950191570881254
21401225,0.021377368151561913
3200514,0.03898768809849522
